Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Contest Grade,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
.SCTimeline,5305.497,16.759000000000015,Grey,30,,Box Touch 1,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #24 Michael Wilson,4v4,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #24 Michael Wilson",Half Court ,Reversal 1,No Shot,Good D,,,
.SCTimeline,6316.197,11.359999999999673,Grey,31,+3,Box Touch 0,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,5v5,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki",Half Court ,Reversal 0,Shot Qual 2,,,,
.SCTimeline,6348.816,28.579999999999927,Grey,32,-3,Box Touch 0,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,5v5,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki",Half Court ,Reversal 1,Shot Qual 2,,,,
.SCTimeline,6375.396,5.597999999999956,Grey,33,+2,Box Touch 1,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,5v5,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki",,Reversal 0,"Foul Drawn, Shot Qual 4",,,,
.SCTimeline,6404.8,18.1899999999996,Grey,34,"Deflection, +3",Box Touch 0,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,5v5,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki",Half Court ,Reversal 1,Shot Qual 3,,,,
.SCTimeline,6465.397,32.6869999999999,Grey,35,-2,Box Touch 0,, | #8 Kenyon Goodin | #11 Brian Waddell | #23 Sam Donald | #24 Michael Wilson | #32 Jack Karasinki,5v5,"#8 Kenyon Goodin, #11 Brian Waddell, #23 Sam Donald, #24 Michael Wilson, #32 Jack Karasinki",Half Court ,Reversal 3,Shot Qual 1,,,,
.SCTimeline,6586.075,26.44500000000062,Grey,36,,Box Touch 2,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,5v5,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki",Half Court ,Reversal 4,"Foul Drawn, Shot Qual 4",,,,
.SCTimeline,6637.432,4.168000000000575,Grey,37,+1,,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,5v5,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki",Half Court ,,,,,,
.SCTimeline,6664.597,3.9440000000004147,Grey,38,+1,,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,5v5,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki","Special, Half Court , Half Court ",,,,,,
.SCTimeline,6686.998,15.647000000000844,Grey,39,-2,Box Touch 1,, | #8 Kenyon Goodin | #11 Brian Waddell | #23 Sam Donald | #24 Michael Wilson | #32 Jack Karasinki,5v5,"#8 Kenyon Goodin, #11 Brian Waddell, #23 Sam Donald, #24 Michael Wilson, #32 Jack Karasinki",Half Court ,Reversal 1,Shot Qual 4,,,,
.SCTimeline,1449.1991093329946,4868.977146041997,Red,1,"Crash, Crash, OREB OPP, Crash, OREB OPP, O REB, Crash, OREB OPP, D REB, Crash, OREB OPP, No Crash, Crash, OREB OPP, D REB, D REB, No Crash, OREB OPP, D REB, No Crash, No Crash, Crash, OREB OPP, Crash, OREB OPP, O REB, D REB, No Crash, Crash, OREB OPP, O REB, OREB OPP, D REB, No Crash, OREB OPP, No Crash, OREB OPP, No Crash, OREB OPP, D REB, No Crash, OREB OPP, D REB, No Crash, OREB OPP, No Crash, OREB OPP, No Crash, OREB OPP, Crash, Crash, No Crash, No Crash, OREB OPP, O REB, Crash, OREB OPP, Crash, OREB OPP, No Crash, No Crash, D REB, No Crash, Crash, OREB OPP, No Crash, OREB OPP, No Crash, OREB OPP, D REB, D REB, No Crash, OREB OPP",,,,,,,,,,,,
.SCTimeline,1554.997,20.764999999999873,Red,2,-3,Box Touch 0,, | #0 Tommy Clark | #5 Myles Watkins | #14 Dom Murphy | #22 Darrius Bolden | #44 Jacob Wassler,Scramble,"#0 Tommy Clark, #5 Myles Watkins, #14 Dom Murphy, #22 Darrius Bolden, #44 Jacob Wassler",Half Court ,Reversal 3,Shot Qual 3,,,,
