Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
251008,2671.6987221799136,20.499650144086445,Red,5,+3,Box Touch 0, | #4 Grant Neal | #8 Kenyon Goodin | #23 Sam Donald | #44 Jacob Wassler,Kill Drill,"#4 Grant Neal, #8 Kenyon Goodin, #23 Sam Donald, #44 Jacob Wassler",Half Court,Reversal 1,Shot Qual 3,,,,
251008,2700.849568324,9.923391278000054,Red,6,,Box Touch 0, | #4 Grant Neal | #8 Kenyon Goodin | #23 Sam Donald | #44 Jacob Wassler,Kill Drill,"#4 Grant Neal, #8 Kenyon Goodin, #23 Sam Donald, #44 Jacob Wassler",Half Court,Reversal 0,No Shot,,,,
251008,2719.9980464555642,14.167239141435857,Red,7,-3,Box Touch 0, | #4 Grant Neal | #8 Kenyon Goodin | #23 Sam Donald | #44 Jacob Wassler,Kill Drill,"#4 Grant Neal, #8 Kenyon Goodin, #23 Sam Donald, #44 Jacob Wassler",Half Court,Reversal 1,Shot Qual 1,,,,
251008,2756.4986425409666,10.687398737033618,Red,8,Turnover,Box Touch 0, | #5 Myles Watkins | #8 Kenyon Goodin | #14 Dom Murphy | #32 Jack Karasinki,Kill Drill,"#5 Myles Watkins, #8 Kenyon Goodin, #14 Dom Murphy, #32 Jack Karasinki",Half Court,Reversal 1,No Shot,,,,
251008,2776.7979940963082,17.617478766691875,Red,9,,Box Touch 0, | #5 Myles Watkins | #8 Kenyon Goodin | #14 Dom Murphy | #44 Jacob Wassler,Kill Drill,"#5 Myles Watkins, #8 Kenyon Goodin, #14 Dom Murphy, #44 Jacob Wassler",Half Court,Reversal 2,No Shot,,,,
251008,3672.932591489,30.752154638999855,Red,10,,Box Touch 0, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #15 Luke Anderson | #23 Sam Donald,5v5,"#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #15 Luke Anderson, #23 Sam Donald",Half Court,Reversal 1,No Shot,,,,
251008,3795.897910014702,15.708202754297872,Red,11,+3,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #15 Luke Anderson,5v5,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #15 Luke Anderson",Half Court,Reversal 1,Shot Qual 3,Teaching Clip,,,
251008,3841.198115915671,21.570775414328637,Red,12,+3,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #15 Luke Anderson,5v5,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #15 Luke Anderson",Half Court,Reversal 1,Shot Qual 1,,,,
251008,3877.7263333333335,10.151647375666471,Red,13,,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #15 Luke Anderson,5v5,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #15 Luke Anderson",Half Court,Reversal 0,No Shot,,,,
251008,3952.766072875,18.039093430999856,Red,14,,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #15 Luke Anderson,5v5,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #15 Luke Anderson",Half Court,Reversal 1,No Shot,,,,
