Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,HAND OFF LOCATION,HAND OFF RECEIVER,HAND OFF TYPE,JUMP SHOT DISTANCE,Lineup,NO DRIBBLE JUMP SHOT DEFENSE,OFF SCREEN CUT TYPE,OFF SCREEN CUTTER,OFF SCREEN DIRECTION,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,P&R SCREENER,P&R SCREENER MOVE,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,RESULT,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Ungrouped,Notes,Flags
BU Defense v Chattanooga,740.279,18.46799999999996,Full Game,40,PaintTouch,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v Chattanooga,758.747,13.831999999999994,Full Game,41,-3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Chattanooga,772.579,29.496000000000095,Full Game,42,"PaintTouch, +3",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Chattanooga,802.075,18.051999999999907,Full Game,43,-3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Chattanooga,820.127,27.02800000000002,Full Game,44,+3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,847.155,26.56000000000006,Full Game,45,"PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Chattanooga,873.715,22.188999999999965,Full Game,46,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,895.904,16.299999999999955,Full Game,47,-3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,912.204,29.280000000000086,Full Game,48,-3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,941.484,31.430999999999926,Full Game,49,"PaintTouch, -2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Chattanooga,972.915,13.982000000000085,Full Game,50,+3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,986.897,10.442999999999984,Full Game,51,"PaintTouch, +2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Chattanooga,997.34,24.458999999999946,Full Game,52,-3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Chattanooga,1021.799,15.347999999999956,Full Game,53,Turnover,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v Chattanooga,1037.147,28.228000000000065,Full Game,54,-3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,1065.375,17.71900000000005,Full Game,55,"PaintTouch, +2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,1083.094,28.177999999999884,Full Game,56,"PaintTouch, -2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Chattanooga,1111.272,30.932000000000016,Full Game,57,"PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Chattanooga,1142.204,11.394999999999982,Full Game,58,Turnover,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
