Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,HAND OFF LOCATION,HAND OFF RECEIVER,HAND OFF TYPE,ISO DIRECTION,ISO LOCATION,ISO MOVE,ISO PLAYER,JUMP SHOT DISTANCE,Lineup,NO DRIBBLE JUMP SHOT DEFENSE,OFF SCREEN CUT TYPE,OFF SCREEN CUTTER,OFF SCREEN DIRECTION,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,RESULT,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Ungrouped,Notes,Flags
BU Defense v EKU,732.532,8.52699999999993,BU Defense v EKU,39,"-3, OREB",,,,,,Badger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v EKU,741.059,7.023000000000025,BU Defense v EKU,40,"PaintTouch, +2",,,,,,Badger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v EKU,748.082,25.826999999999998,BU Defense v EKU,41,"PaintTouch, PaintTouch, PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v EKU,773.909,7.4249999999999545,BU Defense v EKU,42,Turnover,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v EKU,781.334,21.105000000000018,BU Defense v EKU,43,"PaintTouch, -2, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v EKU,802.439,7.2409999999999854,BU Defense v EKU,44,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v EKU,809.68,13.899000000000001,BU Defense v EKU,45,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v EKU,823.579,11.661000000000058,BU Defense v EKU,46,"PaintTouch, +2",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v EKU,835.24,6.323999999999955,BU Defense v EKU,47,+2,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v EKU,841.564,10.411000000000058,BU Defense v EKU,48,-3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v EKU,851.975,16.866999999999962,BU Defense v EKU,49,PaintTouch,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v EKU,868.842,16.25,BU Defense v EKU,50,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v EKU,885.092,15.91700000000003,BU Defense v EKU,51,+3,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v EKU,901.009,19.852999999999952,BU Defense v EKU,52,PaintTouch,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v EKU,927.87,22.206999999999994,BU Defense v EKU,53,+3,,,,,,"White, Man",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v EKU,950.077,6.892000000000053,BU Defense v EKU,54,+3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v EKU,956.969,25.275999999999954,BU Defense v EKU,55,-3,,,,,,"White, Man",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v EKU,982.245,14.048999999999978,BU Defense v EKU,56,"-2, OREB, PaintTouch",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v EKU,996.294,6.039999999999964,BU Defense v EKU,57,"PaintTouch, +2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v EKU,1002.334,19.01800000000003,BU Defense v EKU,58,"-3, OREB",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v EKU,1021.352,7.5919999999999845,BU Defense v EKU,59,+3,,,,,,"Badger, Man",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v EKU,1028.944,22.690000000000055,BU Defense v EKU,60,Turnover,,,,,,"White, Man",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v EKU,1051.634,17.785000000000082,BU Defense v EKU,61,,,,,,,"Puma, Man",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, No Shot",,,,,,
BU Defense v EKU,1069.419,24.92599999999993,BU Defense v EKU,62,"-2, OREB",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v EKU,1094.345,22.307000000000016,BU Defense v EKU,63,Turnover,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v EKU,1116.652,12.579999999999927,BU Defense v EKU,64,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v EKU,1142.429,23.055999999999813,BU Defense v EKU,65,"-3, OREB",,,,,,"White, Man",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v EKU,1165.485,15.132000000000062,BU Defense v EKU,66,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, No Shot",,,,,,
BU Defense v EKU,1180.617,24.307999999999993,BU Defense v EKU,67,+3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v EKU,1204.925,17.951999999999998,BU Defense v EKU,68,"PaintTouch, +2",,,,,,"White, Man",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v EKU,1222.877,19.58699999999999,BU Defense v EKU,69,"+2, PaintTouch",,,,,,"White, Man",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v EKU,1242.464,32.38300000000004,BU Defense v EKU,70,Turnover,,,,,,"White, Man",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v EKU,1274.847,34.03500000000008,BU Defense v EKU,71,PaintTouch,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
