Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,JUMP SHOT DISTANCE,Lineup,NO DRIBBLE JUMP SHOT DEFENSE,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,P&R SCREENER,P&R SCREENER MOVE,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,RESULT,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Ungrouped,Notes,Flags
BU Defense v UNA,988.437,18.21799999999996,BU Defense v UNA,52,+3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UNA,1006.655,13.882000000000062,BU Defense v UNA,53,"+2, PaintTouch",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v UNA,1020.537,26.126999999999953,BU Defense v UNA,54,"PaintTouch, -2, OREB",,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UNA,1046.664,8.107999999999947,BU Defense v UNA,55,"+2, PaintTouch",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v UNA,1054.772,20.12200000000007,BU Defense v UNA,56,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UNA,1074.894,31.516000000000076,BU Defense v UNA,57,"PaintTouch, PaintTouch, -3",,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UNA,1106.41,27.394999999999982,BU Defense v UNA,58,"PaintTouch, PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UNA,1133.805,23.991999999999962,BU Defense v UNA,59,PaintTouch,,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UNA,1157.797,21.055000000000064,BU Defense v UNA,60,+3,,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UNA,1178.852,31.381999999999834,BU Defense v UNA,61,+3,,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UNA,1210.234,10.411000000000058,BU Defense v UNA,62,Turnover,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UNA,1220.645,34.202,BU Defense v UNA,63,-3,,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UNA,1254.847,9.059999999999945,BU Defense v UNA,64,Turnover,,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UNA,1263.907,12.763000000000147,BU Defense v UNA,65,PaintTouch,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, No Shot",,,,,,
