Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,HAND OFF LOCATION,HAND OFF RECEIVER,HAND OFF TYPE,JUMP SHOT DISTANCE,Lineup,NO DRIBBLE JUMP SHOT DEFENSE,OFF SCREEN CUT TYPE,OFF SCREEN CUTTER,OFF SCREEN DIRECTION,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,RESULT,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Ungrouped,Notes,Flags
BU Defense v UCA,1186.566,16.80099999999993,BU Defense v UCA,73,"PaintTouch, PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UCA,1215.931,12.212999999999965,BU Defense v UCA,74,"PaintTouch, +2",,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,1228.144,21.257000000000062,BU Defense v UCA,75,Turnover,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UCA,1249.401,9.326000000000022,BU Defense v UCA,76,Turnover,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UCA,1258.727,12.963999999999942,BU Defense v UCA,77,+3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,1282.236,13.64799999999991,BU Defense v UCA,78,Turnover,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UCA,1295.884,16.667999999999893,BU Defense v UCA,79,Turnover,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UCA,1312.552,24.225000000000136,BU Defense v UCA,80,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,1336.777,20.75499999999988,BU Defense v UCA,81,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v UCA,1357.532,21.37200000000007,BU Defense v UCA,82,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,1378.904,18.386999999999944,BU Defense v UCA,83,"PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,1397.291,13.748000000000047,BU Defense v UCA,84,"PaintTouch, +2",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,1411.039,28.680000000000064,BU Defense v UCA,85,"-3, OREB",,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,1439.719,13.664999999999964,BU Defense v UCA,86,"-2, OREB, PaintTouch",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v UCA,1453.384,13.664999999999964,BU Defense v UCA,87,"PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,1467.049,22.3900000000001,BU Defense v UCA,88,"PaintTouch, -2",,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
