Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,Box Touch Number,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,HAND OFF LOCATION,HAND OFF RECEIVER,HAND OFF TYPE,JUMP SHOT DISTANCE,Lineup,LiveDrills,NO DRIBBLE JUMP SHOT DEFENSE,OFF SCREEN CUT TYPE,OFF SCREEN CUTTER,OFF SCREEN DIRECTION,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,P&R SCREENER,P&R SCREENER MOVE,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,RESULT,Reversal Number,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Teaching,Teammate,Ungrouped,Notes,Flags
BU Defense v NKU,640.877,28.247,Bellarmine Defense,40,2,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,,,
BU Defense v NKU,669.124,10.143,Bellarmine Defense,41,2,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,,,
BU Defense v NKU,679.267,13.247,Bellarmine Defense,42,2,,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,,,
BU Defense v NKU,692.514,17.168,Bellarmine Defense,43,-2,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,,,
BU Defense v NKU,709.682,13.382,Bellarmine Defense,44,Turnover,,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,,,
BU Defense v NKU,723.064,14.565,Bellarmine Defense,45,3,,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,,,
BU Defense v NKU,737.629,10.611,Bellarmine Defense,46,2,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,,,
BU Defense v NKU,748.24,14.915,Bellarmine Defense,47,3,,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,,,
BU Defense v NKU,763.155,18.619,Bellarmine Defense,48,2,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,,,
BU Defense v NKU,781.774,10.193,Bellarmine Defense,49,-2,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,,,
BU Defense v NKU,791.967,9.827,Bellarmine Defense,50,-2,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,,,
BU Defense v NKU,801.794,23.573,Bellarmine Defense,51,,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,,,
BU Defense v NKU,825.367,23.692,Bellarmine Defense,52,,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,,,
BU Defense v NKU,849.059,16.2,Bellarmine Defense,53,3,,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,,,
BU Defense v NKU,865.259,23.273,Bellarmine Defense,54,"-2, OREB",,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,,,
BU Defense v NKU,888.532,11.228,Bellarmine Defense,55,Turnover,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,,,
BU Defense v NKU,899.76,5.318355209,Bellarmine Defense,56,-3,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,,,
BU Defense v NKU,911.0230587,14.13094127,Bellarmine Defense,57,"OREB, -3",,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,,,
BU Defense v NKU,925.154,13.246,Bellarmine Defense,58,2,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,,,
BU Defense v NKU,938.4,30.865,Bellarmine Defense,59,-3,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,,,
BU Defense v NKU,969.265,21.105,Bellarmine Defense,60,Turnover,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,,,
BU Defense v NKU,990.37,22.124,Bellarmine Defense,61,2,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,,,
BU Defense v NKU,1012.494,7.195642807,Bellarmine Defense,62,-2,,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,,,
BU Defense v NKU,1025.383232,3.66076773,Bellarmine Defense,63,"OREB, +2",,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,,,
BU Defense v NKU,1029.044,30.665,Bellarmine Defense,64,-2,,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,,,
BU Defense v NKU,1059.709,18.618,Bellarmine Defense,65,-3,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,,,
BU Defense v NKU,1078.327,27.062,Bellarmine Defense,66,Turnover,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,,,
BU Defense v NKU,1105.389,25.96,Bellarmine Defense,67,Turnover,,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,,,
BU Defense v NKU,1131.349,17.183,Bellarmine Defense,68,Turnover,,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,,,
BU Defense v NKU,1148.532,20.203,Bellarmine Defense,69,-3,,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,,,
BU Defense v NKU,1168.735,17.202,Bellarmine Defense,70,-2,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,,,
BU Defense v NKU,1185.937,21.438,Bellarmine Defense,71,2,,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,,,
BU Defense v NKU,1207.375,28.079,Bellarmine Defense,72,2,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,,,
BU Defense v NKU,1235.454,11.795,Bellarmine Defense,73,2,,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,,,
BU Defense v NKU,1247.249,14.298,Bellarmine Defense,74,-3,,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,,,
BU Defense v NKU,1261.547,16.983,Bellarmine Defense,75,-2,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,,,
