Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,HAND OFF LOCATION,HAND OFF RECEIVER,HAND OFF TYPE,ISO DIRECTION,ISO LOCATION,ISO MOVE,ISO PLAYER,JUMP SHOT DISTANCE,Lineup,NO DRIBBLE JUMP SHOT DEFENSE,OFF SCREEN CUT TYPE,OFF SCREEN CUTTER,OFF SCREEN DIRECTION,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,RESULT,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Ungrouped,Notes,Flags
BU Defense v Lipscomb,970.539,25.860000000000014,BU Defense v Lipscomb,55,"-3, OREB",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Lipscomb,996.399,18.26800000000003,BU Defense v Lipscomb,56,Turnover,,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v Lipscomb,1014.667,13.412999999999897,BU Defense v Lipscomb,57,"-3, OREB",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Lipscomb,1028.08,13.029999999999973,BU Defense v Lipscomb,58,"PaintTouch, +2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v Lipscomb,1041.11,19.903999999999996,BU Defense v Lipscomb,59,"-3, OREB",,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Lipscomb,1061.014,20.53800000000001,BU Defense v Lipscomb,60,+3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Lipscomb,1081.552,14.86700000000019,BU Defense v Lipscomb,61,Turnover,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v Lipscomb,1096.419,20.92099999999982,BU Defense v Lipscomb,62,"PaintTouch, Turnover",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v Lipscomb,1117.34,23.892000000000053,BU Defense v Lipscomb,63,"PaintTouch, Turnover",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v Lipscomb,1141.232,9.22700000000009,BU Defense v Lipscomb,64,PaintTouch,,,,,,"Badger, Man",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v Lipscomb,1150.459,21.822999999999865,BU Defense v Lipscomb,65,"PaintTouch, Turnover",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v Lipscomb,1172.282,18.66800000000012,BU Defense v Lipscomb,66,"PaintTouch, +2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Lipscomb,1190.95,15.46699999999987,BU Defense v Lipscomb,67,"+2, PaintTouch",,,,,,Puma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v Lipscomb,1206.417,12.09699999999998,BU Defense v Lipscomb,68,"-2, PaintTouch",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Lipscomb,1218.514,24.52500000000009,BU Defense v Lipscomb,69,"PaintTouch, -2",,,,,,"Puma, Man",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Lipscomb,1243.039,28.746000000000095,BU Defense v Lipscomb,70,-2,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Lipscomb,1281.045,28.32899999999995,BU Defense v Lipscomb,71,"PaintTouch, PaintTouch",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, No Shot",,,,,,
BU Defense v Lipscomb,1309.374,27.560999999999922,BU Defense v Lipscomb,72,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, No Shot",,,,,,
BU Defense v Lipscomb,1349.182,10.561999999999898,BU Defense v Lipscomb,73,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, No Shot",,,,,,
BU Defense v Lipscomb,1359.744,10.643000000000029,BU Defense v Lipscomb,74,"-2, PaintTouch",,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Lipscomb,1370.387,12.513000000000147,BU Defense v Lipscomb,75,Turnover,,,,,,Badger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v Lipscomb,1396.347,16.34999999999991,BU Defense v Lipscomb,76,"+2, PaintTouch",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v Lipscomb,1412.697,11.095000000000027,BU Defense v Lipscomb,77,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, No Shot",,,,,,
